Attendance_ID,Student_ID,Date,Morning_Session_Status,Evening_Lab_Status,Snacks_Consumed
302,STU1302,2026-04-06,Present,Present,Yes
303,STU1303,2026-04-06,Present,Present,Yes
304,STU1304,2026-04-06,Present,Present,Yes
305,STU1305,2026-04-06,Present,Present,Yes
306,STU1306,2026-04-06,Present,Present,Yes
307,STU1307,2026-04-06,Present,Present,Yes
308,STU1308,2026-04-06,Present,Present,Yes
309,STU1309,2026-04-06,Present,Present,Yes
310,STU1310,2026-04-06,Present,Present,Yes
311,STU1311,2026-04-06,Present,Present,Yes
312,STU1312,2026-04-06,Present,Present,Yes
313,STU1313,2026-04-06,Absent,Absent,No
314,STU1314,2026-04-06,Present,Present,Yes
315,STU1315,2026-04-06,Present,Present,Yes
316,STU1316,2026-04-06,Present,Present,Yes
317,STU1317,2026-04-06,Present,Present,Yes
318,STU1318,2026-04-06,Present,Present,Yes
319,STU1319,2026-04-06,Present,Present,Yes
320,STU1320,2026-04-06,Present,Present,Yes
321,STU1321,2026-04-06,Present,Present,Yes
322,STU1322,2026-04-06,Present,Present,Yes
323,STU1323,2026-04-06,Present,Present,Yes
324,STU1324,2026-04-06,Present,Present,Yes
325,STU1325,2026-04-06,Present,Present,Yes
326,STU1326,2026-04-06,Present,Present,Yes
327,STU1327,2026-04-06,Present,Present,Yes
328,STU1328,2026-04-06,Present,Present,Yes
329,STU1329,2026-04-06,Present,Present,Yes
330,STU1330,2026-04-06,Present,Present,Yes
331,STU1331,2026-04-06,Present,Present,Yes
332,STU1332,2026-04-06,Present,Present,Yes
333,STU1333,2026-04-06,Present,Present,Yes
334,STU1334,2026-04-06,Present,Present,Yes
335,STU1335,2026-04-06,Present,Present,Yes
336,STU1336,2026-04-06,Late,Absent,No
337,STU1337,2026-04-06,Present,Present,Yes
338,STU1338,2026-04-06,Present,Absent,No
339,STU1339,2026-04-06,Present,Present,Yes
340,STU1340,2026-04-06,Present,Present,Yes
341,STU1341,2026-04-06,Present,Present,Yes
342,STU1342,2026-04-06,Present,Present,Yes
343,STU1343,2026-04-06,Present,Present,Yes
344,STU1344,2026-04-06,Present,Present,Yes
345,STU1345,2026-04-06,Present,Present,Yes
346,STU1346,2026-04-06,Present,Present,Yes
347,STU1347,2026-04-06,Present,Present,Yes
348,STU1348,2026-04-06,Present,Absent,No
349,STU1349,2026-04-06,Present,Present,Yes
350,STU1350,2026-04-06,Absent,Absent,No
351,STU1351,2026-04-06,Present,Present,Yes
352,STU1352,2026-04-06,Present,Present,Yes
353,STU1353,2026-04-06,Present,Present,Yes
354,STU1354,2026-04-06,Absent,Absent,No
355,STU1355,2026-04-06,Present,Present,Yes
356,STU1356,2026-04-06,Present,Present,Yes
357,STU1357,2026-04-06,Present,Present,Yes
358,STU1358,2026-04-06,Present,Present,Yes
359,STU1359,2026-04-06,Absent,Absent,No
360,STU1360,2026-04-06,Present,Present,Yes
361,STU1361,2026-04-06,Present,Present,Yes
362,STU1362,2026-04-06,Present,Present,Yes
363,STU1363,2026-04-06,Present,Present,Yes
364,STU1364,2026-04-06,Present,Absent,No
365,STU1365,2026-04-06,Present,Present,Yes
366,STU1366,2026-04-06,Present,Present,Yes
367,STU1367,2026-04-06,Present,Present,Yes
368,STU1368,2026-04-06,Present,Present,Yes
369,STU1369,2026-04-06,Present,Present,Yes
370,STU1370,2026-04-06,Present,Present,Yes
371,STU1371,2026-04-06,Present,Present,Yes
372,STU1372,2026-04-06,Present,Present,Yes
373,STU1373,2026-04-06,Present,Present,Yes
374,STU1374,2026-04-06,Present,Present,Yes
375,STU1375,2026-04-06,Present,Present,Yes
376,STU1376,2026-04-06,Present,Absent,No
377,STU1377,2026-04-06,Present,Present,Yes
378,STU1378,2026-04-06,Present,Present,Yes
379,STU1379,2026-04-06,Present,Present,Yes
380,STU1380,2026-04-06,Present,Present,Yes
381,STU1381,2026-04-06,Present,Present,Yes
382,STU1382,2026-04-06,Present,Present,Yes
383,STU1383,2026-04-06,Present,Present,Yes
384,STU1384,2026-04-06,Present,Present,Yes
385,STU1385,2026-04-06,Present,Present,Yes
386,STU1386,2026-04-06,Present,Present,Yes
387,STU1387,2026-04-06,Present,Present,Yes
388,STU1388,2026-04-06,Present,Present,Yes
389,STU1389,2026-04-06,Present,Present,Yes
390,STU1390,2026-04-06,Late,Absent,No
391,STU1391,2026-04-06,Present,Present,Yes
392,STU1392,2026-04-06,Present,Present,Yes
393,STU1393,2026-04-06,Present,Present,Yes
394,STU1394,2026-04-06,Absent,Absent,No
395,STU1395,2026-04-06,Present,Present,Yes
396,STU1396,2026-04-06,Present,Present,Yes
397,STU1397,2026-04-06,Present,Present,Yes
398,STU1398,2026-04-06,Present,Present,Yes
399,STU1399,2026-04-06,Present,Present,Yes
400,STU1400,2026-04-06,Present,Present,Yes
401,STU1401,2026-04-06,Late,Absent,No
402,STU1402,2026-04-06,Present,Present,Yes
403,STU1403,2026-04-06,Present,Present,Yes
404,STU1404,2026-04-06,Present,Absent,No
405,STU1405,2026-04-06,Present,Present,Yes
406,STU1406,2026-04-06,Present,Present,Yes
407,STU1407,2026-04-06,Present,Present,Yes
408,STU1408,2026-04-06,Present,Absent,No
409,STU1409,2026-04-06,Present,Present,Yes
410,STU1410,2026-04-06,Present,Present,Yes
411,STU1411,2026-04-06,Present,Present,Yes
412,STU1412,2026-04-06,Present,Present,Yes
413,STU1413,2026-04-06,Present,Present,Yes
414,STU1414,2026-04-06,Present,Present,Yes
415,STU1415,2026-04-06,Present,Present,Yes
416,STU1416,2026-04-06,Present,Present,Yes
417,STU1417,2026-04-06,Absent,Absent,No
418,STU1418,2026-04-06,Present,Absent,No
419,STU1419,2026-04-06,Present,Present,Yes
420,STU1420,2026-04-06,Present,Present,Yes
421,STU1421,2026-04-06,Present,Present,Yes
422,STU1422,2026-04-06,Present,Present,Yes
423,STU1423,2026-04-06,Present,Present,Yes
424,STU1424,2026-04-06,Present,Present,Yes
425,STU1425,2026-04-06,Present,Present,Yes
426,STU1426,2026-04-06,Absent,Absent,No
427,STU1427,2026-04-06,Present,Present,Yes
428,STU1428,2026-04-06,Present,Present,Yes
429,STU1429,2026-04-06,Present,Present,Yes
430,STU1430,2026-04-06,Present,Present,Yes
431,STU1431,2026-04-06,Present,Present,Yes
432,STU1432,2026-04-06,Present,Present,Yes
433,STU1433,2026-04-06,Present,Present,Yes
434,STU1434,2026-04-06,Present,Present,Yes
435,STU1435,2026-04-06,Present,Present,Yes
436,STU1436,2026-04-06,Present,Present,Yes
437,STU1437,2026-04-06,Present,Present,Yes
438,STU1438,2026-04-06,Present,Present,Yes
439,STU1439,2026-04-06,Present,Present,Yes
440,STU1440,2026-04-06,Present,Present,Yes
441,STU1441,2026-04-06,Present,Present,Yes
442,STU1442,2026-04-06,Present,Present,Yes
443,STU1443,2026-04-06,Present,Present,Yes
444,STU1444,2026-04-06,Late,Absent,No
445,STU1445,2026-04-06,Present,Present,Yes
446,STU1446,2026-04-06,Present,Absent,No
447,STU1447,2026-04-06,Present,Present,Yes
448,STU1448,2026-04-06,Present,Present,Yes
449,STU1449,2026-04-06,Present,Present,Yes
450,STU1450,2026-04-06,Present,Absent,No
451,STU1451,2026-04-06,Present,Present,Yes
452,STU1452,2026-04-06,Present,Present,Yes
453,STU1453,2026-04-06,Present,Present,Yes
454,STU1454,2026-04-06,Present,Present,Yes
455,STU1455,2026-04-06,Present,Present,Yes
456,STU1456,2026-04-06,Present,Present,Yes
457,STU1457,2026-04-06,Present,Present,Yes
458,STU1458,2026-04-06,Present,Present,Yes
459,STU1459,2026-04-06,Present,Present,Yes
460,STU1460,2026-04-06,Present,Present,Yes
461,STU1461,2026-04-06,Present,Present,Yes
462,STU1462,2026-04-06,Present,Present,Yes
463,STU1463,2026-04-06,Present,Present,Yes
464,STU1464,2026-04-06,Present,Present,Yes
465,STU1465,2026-04-06,Present,Present,Yes
466,STU1466,2026-04-06,Present,Present,Yes
467,STU1467,2026-04-06,Present,Present,Yes
468,STU1468,2026-04-06,Present,Present,Yes
469,STU1469,2026-04-06,Present,Present,Yes
470,STU1470,2026-04-06,Present,Present,Yes
471,STU1471,2026-04-06,Present,Present,Yes
472,STU1472,2026-04-06,Present,Present,Yes
473,STU1473,2026-04-06,Present,Present,Yes
474,STU1474,2026-04-06,Absent,Absent,No
475,STU1475,2026-04-06,Present,Present,Yes
476,STU1476,2026-04-06,Present,Present,Yes
477,STU1477,2026-04-06,Present,Present,Yes
478,STU1478,2026-04-06,Present,Present,Yes
479,STU1479,2026-04-06,Present,Present,Yes
480,STU1480,2026-04-06,Present,Present,Yes
481,STU1481,2026-04-06,Present,Absent,No
482,STU1482,2026-04-06,Present,Present,Yes
483,STU1483,2026-04-06,Present,Present,Yes
484,STU1484,2026-04-06,Present,Present,Yes
485,STU1485,2026-04-06,Present,Present,Yes
486,STU1486,2026-04-06,Present,Present,Yes
487,STU1487,2026-04-06,Present,Present,Yes
488,STU1488,2026-04-06,Present,Present,Yes
489,STU1489,2026-04-06,Present,Present,Yes
490,STU1490,2026-04-06,Absent,Absent,No
491,STU1491,2026-04-06,Present,Present,Yes
492,STU1492,2026-04-06,Present,Present,Yes
493,STU1493,2026-04-06,Present,Absent,No
494,STU1494,2026-04-06,Absent,Absent,No
495,STU1495,2026-04-06,Present,Present,Yes
496,STU1496,2026-04-06,Present,Present,Yes
497,STU1497,2026-04-06,Present,Present,Yes
498,STU1498,2026-04-06,Present,Present,Yes
499,STU1499,2026-04-06,Present,Present,Yes
500,STU1500,2026-04-06,Present,Present,Yes
501,STU1501,2026-04-06,Present,Present,Yes
502,STU1502,2026-04-06,Present,Present,Yes
503,STU1503,2026-04-06,Present,Present,Yes
504,STU1504,2026-04-06,Present,Present,Yes
505,STU1505,2026-04-06,Present,Present,Yes
506,STU1506,2026-04-06,Present,Present,Yes
507,STU1507,2026-04-06,Present,Present,Yes
508,STU1508,2026-04-06,Present,Present,Yes
509,STU1509,2026-04-06,Present,Present,Yes
510,STU1510,2026-04-06,Present,Present,Yes
511,STU1511,2026-04-06,Present,Present,Yes
512,STU1512,2026-04-06,Present,Present,Yes
513,STU1513,2026-04-06,Present,Present,Yes
514,STU1514,2026-04-06,Present,Present,Yes
515,STU1515,2026-04-06,Present,Present,Yes
516,STU1516,2026-04-06,Absent,Absent,No
517,STU1517,2026-04-06,Present,Present,Yes
518,STU1518,2026-04-06,Present,Present,Yes
519,STU1519,2026-04-06,Present,Present,Yes
520,STU1520,2026-04-06,Present,Present,Yes
521,STU1521,2026-04-06,Present,Present,Yes
522,STU1522,2026-04-06,Present,Present,Yes
523,STU1523,2026-04-06,Present,Present,Yes
524,STU1524,2026-04-06,Present,Present,Yes
525,STU1525,2026-04-06,Present,Present,Yes
526,STU1526,2026-04-06,Present,Present,Yes
527,STU1527,2026-04-06,Present,Present,Yes
528,STU1528,2026-04-06,Present,Present,Yes
529,STU1529,2026-04-06,Present,Present,Yes
530,STU1530,2026-04-06,Present,Present,Yes
531,STU1531,2026-04-06,Present,Present,Yes
532,STU1532,2026-04-06,Present,Present,Yes
533,STU1533,2026-04-06,Present,Present,Yes
534,STU1534,2026-04-06,Present,Present,Yes
535,STU1535,2026-04-06,Present,Present,Yes
536,STU1536,2026-04-06,Late,Absent,No
537,STU1537,2026-04-06,Present,Present,Yes
538,STU1538,2026-04-06,Present,Present,Yes
539,STU1539,2026-04-06,Present,Present,Yes
540,STU1540,2026-04-06,Present,Present,Yes
541,STU1541,2026-04-06,Present,Present,Yes
542,STU1542,2026-04-06,Present,Present,Yes
543,STU1543,2026-04-06,Present,Absent,No
544,STU1544,2026-04-06,Present,Present,Yes
545,STU1545,2026-04-06,Present,Present,Yes
546,STU1546,2026-04-06,Present,Present,Yes
547,STU1547,2026-04-06,Present,Present,Yes
548,STU1548,2026-04-06,Absent,Absent,No
549,STU1549,2026-04-06,Present,Present,Yes
550,STU1550,2026-04-06,Present,Present,Yes
551,STU1551,2026-04-06,Present,Present,Yes
552,STU1552,2026-04-06,Present,Present,Yes
553,STU1553,2026-04-06,Present,Present,Yes
554,STU1554,2026-04-06,Late,Absent,No
555,STU1555,2026-04-06,Present,Present,Yes
556,STU1556,2026-04-06,Present,Absent,No
557,STU1557,2026-04-06,Present,Present,Yes
558,STU1558,2026-04-06,Present,Present,Yes
559,STU1559,2026-04-06,Present,Present,Yes
560,STU1560,2026-04-06,Present,Present,Yes
561,STU1561,2026-04-06,Present,Present,Yes
562,STU1562,2026-04-06,Present,Present,Yes
563,STU1563,2026-04-06,Present,Present,Yes
564,STU1564,2026-04-06,Present,Present,Yes
565,STU1565,2026-04-06,Present,Present,Yes
566,STU1566,2026-04-06,Late,Absent,No
567,STU1567,2026-04-06,Absent,Absent,No
568,STU1568,2026-04-06,Present,Present,Yes
569,STU1569,2026-04-06,Present,Present,Yes
570,STU1570,2026-04-06,Present,Present,Yes
571,STU1571,2026-04-06,Present,Present,Yes
572,STU1572,2026-04-06,Present,Present,Yes
573,STU1573,2026-04-06,Present,Present,Yes
574,STU1574,2026-04-06,Present,Present,Yes
575,STU1575,2026-04-06,Absent,Absent,No
576,STU1576,2026-04-06,Present,Present,Yes
577,STU1577,2026-04-06,Present,Present,Yes
578,STU1578,2026-04-06,Present,Present,Yes
579,STU1579,2026-04-06,Present,Present,Yes
580,STU1580,2026-04-06,Present,Present,Yes
581,STU1581,2026-04-06,Present,Present,Yes
