Academic_ID,Student_ID,Subject,Exam_Type,Rote_Learning_Score,Conceptual_Understanding_Score,Practical_Project_Score
77,STU1010,Maths,Finals,78,83,78
78,STU1010,Science,Finals,66,64,80
79,STU1010,Coding,Finals,57,75,70
80,STU1010,Civic Sense,Finals,69,65,70
81,STU1011,Maths,Term 1,70,83,70
82,STU1011,Science,Term 1,75,69,65
83,STU1011,Coding,Term 1,64,65,70
84,STU1011,Civic Sense,Term 1,81,72,86
85,STU1011,Maths,Finals,74,66,67
86,STU1011,Science,Finals,59,62,78
87,STU1011,Coding,Finals,62,74,85
88,STU1011,Civic Sense,Finals,67,63,88
89,STU1012,Maths,Term 1,78,84,65
90,STU1012,Science,Term 1,74,63,77
91,STU1012,Coding,Term 1,67,60,68
92,STU1012,Civic Sense,Term 1,81,60,85
93,STU1012,Maths,Finals,84,61,69
94,STU1012,Science,Finals,62,84,67
95,STU1012,Coding,Finals,63,64,85
96,STU1012,Civic Sense,Finals,74,60,65
97,STU1013,Maths,Term 1,88,96,95
98,STU1013,Science,Term 1,87,91,92
99,STU1013,Coding,Term 1,100,100,99
100,STU1013,Civic Sense,Term 1,99,90,94
101,STU1013,Maths,Finals,95,95,92
102,STU1013,Science,Finals,92,88,98
103,STU1013,Coding,Finals,93,98,98
104,STU1013,Civic Sense,Finals,88,88,90
105,STU1014,Maths,Term 1,39,28,53
106,STU1014,Science,Term 1,34,25,47
107,STU1014,Coding,Term 1,30,32,53
108,STU1014,Civic Sense,Term 1,42,29,51
109,STU1014,Maths,Finals,75,74,77
110,STU1014,Science,Finals,67,68,85
111,STU1014,Coding,Finals,60,68,77
112,STU1014,Civic Sense,Finals,58,74,81
113,STU1015,Maths,Term 1,40,28,51
114,STU1015,Science,Term 1,32,26,44
115,STU1015,Coding,Term 1,35,38,50
116,STU1015,Civic Sense,Term 1,49,30,53
117,STU1015,Maths,Finals,59,74,79
118,STU1015,Science,Finals,66,68,78
119,STU1015,Coding,Finals,70,76,78
120,STU1015,Civic Sense,Finals,57,65,74
121,STU1016,Maths,Term 1,59,70,69
122,STU1016,Science,Term 1,67,74,88
123,STU1016,Coding,Term 1,80,85,80
124,STU1016,Civic Sense,Term 1,81,62,68
125,STU1016,Maths,Finals,73,73,88
126,STU1016,Science,Finals,63,64,67
127,STU1016,Coding,Finals,65,64,70
128,STU1016,Civic Sense,Finals,79,72,76
129,STU1017,Maths,Term 1,68,75,87
130,STU1017,Science,Term 1,68,79,85
131,STU1017,Coding,Term 1,65,64,85
132,STU1017,Civic Sense,Term 1,84,67,77
133,STU1017,Maths,Finals,68,77,80
134,STU1017,Science,Finals,72,77,80
135,STU1017,Coding,Finals,72,77,72
136,STU1017,Civic Sense,Finals,67,62,83
137,STU1018,Maths,Term 1,71,78,87
138,STU1018,Science,Term 1,80,83,72
139,STU1018,Coding,Term 1,77,62,72
140,STU1018,Civic Sense,Term 1,66,60,71
141,STU1018,Maths,Finals,82,60,76
142,STU1018,Science,Finals,72,75,69
143,STU1018,Coding,Finals,84,63,66
144,STU1018,Civic Sense,Finals,84,71,76
145,STU1019,Maths,Term 1,89,92,97
146,STU1019,Science,Term 1,89,96,96
147,STU1019,Coding,Term 1,92,91,93
148,STU1019,Civic Sense,Term 1,86,99,92
149,STU1019,Maths,Finals,88,99,92
150,STU1019,Science,Finals,97,99,90
151,STU1019,Coding,Finals,98,93,90
152,STU1019,Civic Sense,Finals,88,98,99
153,STU1020,Maths,Term 1,49,30,40
154,STU1020,Science,Term 1,34,36,44
155,STU1020,Coding,Term 1,32,32,42
156,STU1020,Civic Sense,Term 1,30,43,53
157,STU1020,Maths,Finals,59,70,85
158,STU1020,Science,Finals,59,74,85
159,STU1020,Coding,Finals,68,75,84
160,STU1020,Civic Sense,Finals,75,65,79
161,STU1021,Maths,Term 1,31,45,41
162,STU1021,Science,Term 1,49,30,45
163,STU1021,Coding,Term 1,30,37,53
164,STU1021,Civic Sense,Term 1,44,42,48
165,STU1021,Maths,Finals,73,74,77
166,STU1021,Science,Finals,68,70,78
167,STU1021,Coding,Finals,57,77,74
168,STU1021,Civic Sense,Finals,61,77,71
169,STU1022,Maths,Term 1,60,83,82
170,STU1022,Science,Term 1,74,62,87
171,STU1022,Coding,Term 1,69,75,75
172,STU1022,Civic Sense,Term 1,75,80,77
173,STU1022,Maths,Finals,81,72,70
174,STU1022,Science,Finals,56,85,76
175,STU1022,Coding,Finals,75,73,71
176,STU1022,Civic Sense,Finals,63,63,68
177,STU1023,Maths,Term 1,49,35,40
178,STU1023,Science,Term 1,37,34,45
179,STU1023,Coding,Term 1,47,28,42
180,STU1023,Civic Sense,Term 1,36,44,40
181,STU1023,Maths,Finals,64,71,76
182,STU1023,Science,Finals,75,66,77
183,STU1023,Coding,Finals,63,67,71
184,STU1023,Civic Sense,Finals,73,80,71
185,STU1024,Maths,Term 1,32,34,40
186,STU1024,Science,Term 1,41,34,52
187,STU1024,Coding,Term 1,46,31,50
188,STU1024,Civic Sense,Term 1,42,48,51
189,STU1024,Maths,Finals,59,68,80
190,STU1024,Science,Finals,68,68,74
191,STU1024,Coding,Finals,55,77,85
192,STU1024,Civic Sense,Finals,73,66,79
193,STU1025,Maths,Term 1,76,74,67
194,STU1025,Science,Term 1,83,80,67
195,STU1025,Coding,Term 1,77,67,71
196,STU1025,Civic Sense,Term 1,80,81,85
197,STU1025,Maths,Finals,59,84,87
198,STU1025,Science,Finals,60,76,81
199,STU1025,Coding,Finals,78,79,85
200,STU1025,Civic Sense,Finals,71,84,75
201,STU1026,Maths,Term 1,59,70,74
202,STU1026,Science,Term 1,66,79,78
203,STU1026,Coding,Term 1,56,82,86
204,STU1026,Civic Sense,Term 1,67,67,71
205,STU1026,Maths,Finals,74,79,67
206,STU1026,Science,Finals,59,78,85
207,STU1026,Coding,Finals,70,63,65
208,STU1026,Civic Sense,Finals,59,84,74
209,STU1027,Maths,Term 1,80,85,67
210,STU1027,Science,Term 1,70,63,79
211,STU1027,Coding,Term 1,65,65,74
212,STU1027,Civic Sense,Term 1,60,62,73
213,STU1027,Maths,Finals,73,71,76
214,STU1027,Science,Finals,57,62,70
215,STU1027,Coding,Finals,77,84,79
216,STU1027,Civic Sense,Finals,63,75,73
217,STU1028,Maths,Term 1,69,80,69
218,STU1028,Science,Term 1,58,78,80
219,STU1028,Coding,Term 1,56,71,74
220,STU1028,Civic Sense,Term 1,67,73,84
221,STU1028,Maths,Finals,84,81,69
222,STU1028,Science,Finals,69,71,81
223,STU1028,Coding,Finals,82,79,75
224,STU1028,Civic Sense,Finals,66,62,86
225,STU1029,Maths,Term 1,69,68,86
226,STU1029,Science,Term 1,56,79,85
227,STU1029,Coding,Term 1,56,83,72
228,STU1029,Civic Sense,Term 1,77,77,65
229,STU1029,Maths,Finals,59,63,74
230,STU1029,Science,Finals,67,65,83
231,STU1029,Coding,Finals,67,62,72
232,STU1029,Civic Sense,Finals,67,74,86
233,STU1030,Maths,Term 1,44,39,54
234,STU1030,Science,Term 1,33,27,45
235,STU1030,Coding,Term 1,33,37,53
236,STU1030,Civic Sense,Term 1,36,37,50
237,STU1030,Maths,Finals,57,75,80
238,STU1030,Science,Finals,74,80,76
239,STU1030,Coding,Finals,70,68,78
240,STU1030,Civic Sense,Finals,69,66,74
241,STU1031,Maths,Term 1,89,98,93
242,STU1031,Science,Term 1,95,97,90
243,STU1031,Coding,Term 1,97,88,95
244,STU1031,Civic Sense,Term 1,98,95,93
245,STU1031,Maths,Finals,86,91,90
246,STU1031,Science,Finals,98,92,94
247,STU1031,Coding,Finals,90,89,92
248,STU1031,Civic Sense,Finals,87,92,96
249,STU1032,Maths,Term 1,44,38,46
250,STU1032,Science,Term 1,38,30,41
251,STU1032,Coding,Term 1,32,38,50
252,STU1032,Civic Sense,Term 1,39,30,46
253,STU1032,Maths,Finals,66,78,85
254,STU1032,Science,Finals,70,70,83
255,STU1032,Coding,Finals,66,77,70
256,STU1032,Civic Sense,Finals,72,71,72
257,STU1033,Maths,Term 1,73,79,69
258,STU1033,Science,Term 1,65,81,88
259,STU1033,Coding,Term 1,78,83,88
260,STU1033,Civic Sense,Term 1,65,60,69
261,STU1033,Maths,Finals,83,74,69
262,STU1033,Science,Finals,70,70,68
263,STU1033,Coding,Finals,80,81,78
264,STU1033,Civic Sense,Finals,63,76,88
265,STU1034,Maths,Term 1,44,29,54
266,STU1034,Science,Term 1,50,43,43
267,STU1034,Coding,Term 1,31,31,46
268,STU1034,Civic Sense,Term 1,43,47,45
269,STU1034,Maths,Finals,74,77,76
270,STU1034,Science,Finals,66,71,76
271,STU1034,Coding,Finals,73,65,81
272,STU1034,Civic Sense,Finals,66,65,79
273,STU1035,Maths,Term 1,88,99,97
274,STU1035,Science,Term 1,99,94,96
275,STU1035,Coding,Term 1,96,93,98
276,STU1035,Civic Sense,Term 1,98,96,95
277,STU1035,Maths,Finals,88,90,97
278,STU1035,Science,Finals,98,93,92
279,STU1035,Coding,Finals,90,96,96
280,STU1035,Civic Sense,Finals,97,92,100
281,STU1036,Maths,Term 1,68,80,74
282,STU1036,Science,Term 1,77,79,68
283,STU1036,Coding,Term 1,57,85,68
284,STU1036,Civic Sense,Term 1,57,80,65
285,STU1036,Maths,Finals,74,73,68
286,STU1036,Science,Finals,70,83,84
287,STU1036,Coding,Finals,84,77,68
288,STU1036,Civic Sense,Finals,75,74,81
289,STU1037,Maths,Term 1,56,81,74
290,STU1037,Science,Term 1,82,73,71
291,STU1037,Coding,Term 1,62,84,79
292,STU1037,Civic Sense,Term 1,72,72,68
293,STU1037,Maths,Finals,61,75,68
294,STU1037,Science,Finals,66,85,79
295,STU1037,Coding,Finals,68,80,87
296,STU1037,Civic Sense,Finals,80,83,77
297,STU1038,Maths,Term 1,41,32,49
298,STU1038,Science,Term 1,38,46,48
299,STU1038,Coding,Term 1,39,38,47
300,STU1038,Civic Sense,Term 1,30,38,41
301,STU1038,Maths,Finals,55,65,74
302,STU1038,Science,Finals,66,75,80
303,STU1038,Coding,Finals,60,78,77
304,STU1038,Civic Sense,Finals,72,77,76
305,STU1039,Maths,Term 1,67,61,83
306,STU1039,Science,Term 1,68,64,85
307,STU1039,Coding,Term 1,67,83,70
308,STU1039,Civic Sense,Term 1,67,70,81
309,STU1039,Maths,Finals,60,73,72
310,STU1039,Science,Finals,58,82,69
311,STU1039,Coding,Finals,71,63,85
312,STU1039,Civic Sense,Finals,73,85,77
313,STU1040,Maths,Term 1,93,96,92
314,STU1040,Science,Term 1,95,91,91
315,STU1040,Coding,Term 1,87,88,96
316,STU1040,Civic Sense,Term 1,85,98,99
317,STU1040,Maths,Finals,89,88,99
318,STU1040,Science,Finals,87,97,96
319,STU1040,Coding,Finals,85,99,92
320,STU1040,Civic Sense,Finals,99,98,100
321,STU1041,Maths,Term 1,60,67,85
322,STU1041,Science,Term 1,83,67,74
323,STU1041,Coding,Term 1,61,77,72
324,STU1041,Civic Sense,Term 1,78,84,77
325,STU1041,Maths,Finals,79,68,86
326,STU1041,Science,Finals,56,68,67
327,STU1041,Coding,Finals,84,64,85
328,STU1041,Civic Sense,Finals,55,80,83
329,STU1042,Maths,Term 1,88,95,99
330,STU1042,Science,Term 1,88,89,92
331,STU1042,Coding,Term 1,94,92,92
332,STU1042,Civic Sense,Term 1,87,89,97
333,STU1042,Maths,Finals,96,91,96
334,STU1042,Science,Finals,88,95,90
335,STU1042,Coding,Finals,98,89,97
336,STU1042,Civic Sense,Finals,87,91,100
337,STU1043,Maths,Term 1,83,70,85
338,STU1043,Science,Term 1,84,74,70
339,STU1043,Coding,Term 1,60,69,65
340,STU1043,Civic Sense,Term 1,83,65,86
341,STU1043,Maths,Finals,73,80,84
342,STU1043,Science,Finals,82,61,68
343,STU1043,Coding,Finals,65,71,80
344,STU1043,Civic Sense,Finals,74,79,82
345,STU1044,Maths,Term 1,46,48,48
346,STU1044,Science,Term 1,33,31,40
347,STU1044,Coding,Term 1,47,25,44
348,STU1044,Civic Sense,Term 1,36,36,43
349,STU1044,Maths,Finals,61,65,80
350,STU1044,Science,Finals,59,72,72
351,STU1044,Coding,Finals,59,73,78
352,STU1044,Civic Sense,Finals,70,71,72
353,STU1045,Maths,Term 1,72,80,74
354,STU1045,Science,Term 1,69,83,80
355,STU1045,Coding,Term 1,68,76,77
356,STU1045,Civic Sense,Term 1,84,66,73
357,STU1045,Maths,Finals,60,66,86
358,STU1045,Science,Finals,82,82,73
359,STU1045,Coding,Finals,67,63,83
360,STU1045,Civic Sense,Finals,80,84,83
361,STU1046,Maths,Term 1,80,66,88
362,STU1046,Science,Term 1,70,73,79
363,STU1046,Coding,Term 1,68,79,88
364,STU1046,Civic Sense,Term 1,63,70,84
365,STU1046,Maths,Finals,58,79,77
366,STU1046,Science,Finals,68,66,83
367,STU1046,Coding,Finals,66,71,85
368,STU1046,Civic Sense,Finals,81,62,79
369,STU1047,Maths,Term 1,56,76,73
370,STU1047,Science,Term 1,73,73,74
371,STU1047,Coding,Term 1,74,80,81
372,STU1047,Civic Sense,Term 1,66,72,65
373,STU1047,Maths,Finals,58,65,75
374,STU1047,Science,Finals,68,85,70
375,STU1047,Coding,Finals,66,67,67
376,STU1047,Civic Sense,Finals,61,81,76
377,STU1048,Maths,Term 1,79,70,68
378,STU1048,Science,Term 1,55,70,87
379,STU1048,Coding,Term 1,55,82,75
380,STU1048,Civic Sense,Term 1,61,74,83
381,STU1048,Maths,Finals,80,70,72
382,STU1048,Science,Finals,72,62,77
383,STU1048,Coding,Finals,64,79,71
384,STU1048,Civic Sense,Finals,71,66,68
385,STU1049,Maths,Term 1,77,79,86
386,STU1049,Science,Term 1,57,78,85
387,STU1049,Coding,Term 1,68,81,78
388,STU1049,Civic Sense,Term 1,65,70,71
389,STU1049,Maths,Finals,61,61,80
390,STU1049,Science,Finals,70,61,73
391,STU1049,Coding,Finals,68,63,68
392,STU1049,Civic Sense,Finals,69,65,84
393,STU1050,Maths,Term 1,67,67,83
394,STU1050,Science,Term 1,55,69,65
395,STU1050,Coding,Term 1,75,85,83
396,STU1050,Civic Sense,Term 1,55,74,74
397,STU1050,Maths,Finals,59,72,66
398,STU1050,Science,Finals,83,77,81
399,STU1050,Coding,Finals,56,70,85
400,STU1050,Civic Sense,Finals,55,62,80
401,STU1051,Maths,Term 1,43,48,49
402,STU1051,Science,Term 1,38,35,51
403,STU1051,Coding,Term 1,42,27,50
404,STU1051,Civic Sense,Term 1,45,44,41
405,STU1051,Maths,Finals,67,74,84
406,STU1051,Science,Finals,70,68,81
407,STU1051,Coding,Finals,74,68,70
408,STU1051,Civic Sense,Finals,62,66,70
409,STU1052,Maths,Term 1,40,47,53
410,STU1052,Science,Term 1,37,30,42
411,STU1052,Coding,Term 1,36,48,51
412,STU1052,Civic Sense,Term 1,47,25,41
413,STU1052,Maths,Finals,63,66,73
414,STU1052,Science,Finals,56,74,72
415,STU1052,Coding,Finals,63,75,82
416,STU1052,Civic Sense,Finals,63,70,74
417,STU1053,Maths,Term 1,58,64,75
418,STU1053,Science,Term 1,82,64,83
419,STU1053,Coding,Term 1,83,73,85
420,STU1053,Civic Sense,Term 1,69,81,68
421,STU1053,Maths,Finals,71,76,72
422,STU1053,Science,Finals,73,75,86
423,STU1053,Coding,Finals,70,68,75
424,STU1053,Civic Sense,Finals,79,83,80
425,STU1054,Maths,Term 1,63,84,74
426,STU1054,Science,Term 1,77,62,76
427,STU1054,Coding,Term 1,72,67,86
428,STU1054,Civic Sense,Term 1,75,83,71
429,STU1054,Maths,Finals,77,62,67
430,STU1054,Science,Finals,70,61,71
431,STU1054,Coding,Finals,55,81,71
432,STU1054,Civic Sense,Finals,69,72,71
433,STU1055,Maths,Term 1,65,66,83
434,STU1055,Science,Term 1,79,76,81
435,STU1055,Coding,Term 1,82,70,74
436,STU1055,Civic Sense,Term 1,77,74,85
437,STU1055,Maths,Finals,59,76,68
438,STU1055,Science,Finals,84,64,72
439,STU1055,Coding,Finals,84,71,77
440,STU1055,Civic Sense,Finals,69,79,81
441,STU1056,Maths,Term 1,67,66,67
442,STU1056,Science,Term 1,63,73,70
443,STU1056,Coding,Term 1,76,69,83
444,STU1056,Civic Sense,Term 1,75,63,69
445,STU1056,Maths,Finals,69,63,88
446,STU1056,Science,Finals,58,67,65
447,STU1056,Coding,Finals,83,74,70
448,STU1056,Civic Sense,Finals,63,60,80
449,STU1057,Maths,Term 1,69,71,73
450,STU1057,Science,Term 1,58,77,67
451,STU1057,Coding,Term 1,66,73,71
452,STU1057,Civic Sense,Term 1,59,72,81
453,STU1057,Maths,Finals,68,76,75
454,STU1057,Science,Finals,56,74,73
455,STU1057,Coding,Finals,66,63,66
456,STU1057,Civic Sense,Finals,75,72,88
457,STU1058,Maths,Term 1,91,92,93
458,STU1058,Science,Term 1,97,90,99
459,STU1058,Coding,Term 1,93,96,99
460,STU1058,Civic Sense,Term 1,100,96,96
461,STU1058,Maths,Finals,88,98,90
462,STU1058,Science,Finals,92,89,93
463,STU1058,Coding,Finals,88,88,90
464,STU1058,Civic Sense,Finals,93,91,91
465,STU1059,Maths,Term 1,63,67,84
466,STU1059,Science,Term 1,77,82,77
467,STU1059,Coding,Term 1,67,72,68
468,STU1059,Civic Sense,Term 1,62,83,87
469,STU1059,Maths,Finals,63,75,71
470,STU1059,Science,Finals,60,85,71
471,STU1059,Coding,Finals,66,80,74
472,STU1059,Civic Sense,Finals,77,79,74
473,STU1060,Maths,Term 1,58,65,81
474,STU1060,Science,Term 1,84,82,84
475,STU1060,Coding,Term 1,70,83,74
476,STU1060,Civic Sense,Term 1,82,82,72
477,STU1060,Maths,Finals,60,70,86
478,STU1060,Science,Finals,57,65,70
479,STU1060,Coding,Finals,65,74,69
480,STU1060,Civic Sense,Finals,55,81,80
481,STU1061,Maths,Term 1,55,65,73
482,STU1061,Science,Term 1,83,62,70
483,STU1061,Coding,Term 1,76,84,65
484,STU1061,Civic Sense,Term 1,74,71,80
485,STU1061,Maths,Finals,73,60,80
486,STU1061,Science,Finals,82,67,80
487,STU1061,Coding,Finals,58,61,65
488,STU1061,Civic Sense,Finals,73,81,74
489,STU1062,Maths,Term 1,90,100,92
490,STU1062,Science,Term 1,88,89,94
491,STU1062,Coding,Term 1,95,95,97
492,STU1062,Civic Sense,Term 1,96,96,94
493,STU1062,Maths,Finals,100,92,95
494,STU1062,Science,Finals,99,88,95
495,STU1062,Coding,Finals,94,99,95
496,STU1062,Civic Sense,Finals,100,89,94
497,STU1063,Maths,Term 1,78,80,65
498,STU1063,Science,Term 1,59,73,72
499,STU1063,Coding,Term 1,76,64,76
500,STU1063,Civic Sense,Term 1,70,60,72
501,STU1063,Maths,Finals,73,83,87
502,STU1063,Science,Finals,68,71,71
503,STU1063,Coding,Finals,78,62,71
504,STU1063,Civic Sense,Finals,84,72,85
505,STU1064,Maths,Term 1,38,45,54
506,STU1064,Science,Term 1,46,30,48
507,STU1064,Coding,Term 1,41,35,52
508,STU1064,Civic Sense,Term 1,48,38,48
509,STU1064,Maths,Finals,64,71,71
510,STU1064,Science,Finals,73,75,73
511,STU1064,Coding,Finals,68,79,81
512,STU1064,Civic Sense,Finals,64,68,70
513,STU1065,Maths,Term 1,76,64,79
514,STU1065,Science,Term 1,76,64,81
515,STU1065,Coding,Term 1,64,79,82
516,STU1065,Civic Sense,Term 1,76,65,74
517,STU1065,Maths,Finals,70,69,67
518,STU1065,Science,Finals,80,69,65
519,STU1065,Coding,Finals,69,61,71
520,STU1065,Civic Sense,Finals,64,78,68
521,STU1066,Maths,Term 1,39,25,53
522,STU1066,Science,Term 1,41,46,40
523,STU1066,Coding,Term 1,31,33,44
524,STU1066,Civic Sense,Term 1,41,34,44
525,STU1066,Maths,Finals,57,73,74
526,STU1066,Science,Finals,61,78,72
527,STU1066,Coding,Finals,64,72,71
528,STU1066,Civic Sense,Finals,70,76,77
529,STU1067,Maths,Term 1,97,94,96
530,STU1067,Science,Term 1,88,92,94
531,STU1067,Coding,Term 1,94,90,99
532,STU1067,Civic Sense,Term 1,98,98,95
533,STU1067,Maths,Finals,89,98,93
534,STU1067,Science,Finals,93,90,96
535,STU1067,Coding,Finals,91,92,94
536,STU1067,Civic Sense,Finals,87,92,99
537,STU1068,Maths,Term 1,99,96,92
538,STU1068,Science,Term 1,97,100,96
539,STU1068,Coding,Term 1,88,90,98
540,STU1068,Civic Sense,Term 1,99,99,95
541,STU1068,Maths,Finals,96,95,95
542,STU1068,Science,Finals,98,95,96
543,STU1068,Coding,Finals,98,95,90
544,STU1068,Civic Sense,Finals,85,100,96
545,STU1069,Maths,Term 1,34,44,49
546,STU1069,Science,Term 1,37,43,51
547,STU1069,Coding,Term 1,34,44,49
548,STU1069,Civic Sense,Term 1,31,37,44
549,STU1069,Maths,Finals,67,65,84
550,STU1069,Science,Finals,71,79,71
551,STU1069,Coding,Finals,57,66,78
552,STU1069,Civic Sense,Finals,75,68,80
553,STU1070,Maths,Term 1,81,69,83
554,STU1070,Science,Term 1,70,82,75
555,STU1070,Coding,Term 1,82,61,68
556,STU1070,Civic Sense,Term 1,78,78,86
557,STU1070,Maths,Finals,71,83,87
558,STU1070,Science,Finals,56,82,71
559,STU1070,Coding,Finals,71,64,82
560,STU1070,Civic Sense,Finals,78,75,69
561,STU1071,Maths,Term 1,76,80,69
562,STU1071,Science,Term 1,64,80,74
563,STU1071,Coding,Term 1,78,60,80
564,STU1071,Civic Sense,Term 1,74,82,71
565,STU1071,Maths,Finals,58,62,65
566,STU1071,Science,Finals,59,79,68
567,STU1071,Coding,Finals,71,63,72
568,STU1071,Civic Sense,Finals,61,63,80
569,STU1072,Maths,Term 1,46,39,52
570,STU1072,Science,Term 1,31,28,49
571,STU1072,Coding,Term 1,42,40,45
572,STU1072,Civic Sense,Term 1,37,42,48
573,STU1072,Maths,Finals,74,79,73
574,STU1072,Science,Finals,68,69,70
575,STU1072,Coding,Finals,60,69,77
576,STU1072,Civic Sense,Finals,60,71,85
577,STU1073,Maths,Term 1,64,81,68
578,STU1073,Science,Term 1,73,75,76
579,STU1073,Coding,Term 1,76,68,77
580,STU1073,Civic Sense,Term 1,67,82,68
581,STU1073,Maths,Finals,69,73,78
582,STU1073,Science,Finals,59,60,74
583,STU1073,Coding,Finals,69,63,83
584,STU1073,Civic Sense,Finals,67,60,83
585,STU1074,Maths,Term 1,75,80,86
586,STU1074,Science,Term 1,74,74,66
587,STU1074,Coding,Term 1,84,71,69
588,STU1074,Civic Sense,Term 1,69,83,79
589,STU1074,Maths,Finals,63,60,70
590,STU1074,Science,Finals,66,76,81
591,STU1074,Coding,Finals,61,71,87
592,STU1074,Civic Sense,Finals,71,72,81
593,STU1075,Maths,Term 1,50,29,51
594,STU1075,Science,Term 1,50,48,50
595,STU1075,Coding,Term 1,44,47,44
596,STU1075,Civic Sense,Term 1,38,46,49
597,STU1075,Maths,Finals,67,67,85
598,STU1075,Science,Finals,67,80,75
599,STU1075,Coding,Finals,73,73,74
600,STU1075,Civic Sense,Finals,65,76,82
601,STU1076,Maths,Term 1,30,48,45
602,STU1076,Science,Term 1,37,28,43
603,STU1076,Coding,Term 1,45,46,55
604,STU1076,Civic Sense,Term 1,40,32,47
605,STU1076,Maths,Finals,58,70,82
606,STU1076,Science,Finals,68,67,71
607,STU1076,Coding,Finals,74,73,73
608,STU1076,Civic Sense,Finals,56,67,84
609,STU1077,Maths,Term 1,74,80,65
610,STU1077,Science,Term 1,84,65,75
611,STU1077,Coding,Term 1,58,82,79
612,STU1077,Civic Sense,Term 1,67,64,85
613,STU1077,Maths,Finals,73,77,71
614,STU1077,Science,Finals,61,68,80
615,STU1077,Coding,Finals,69,81,74
616,STU1077,Civic Sense,Finals,62,66,88
617,STU1078,Maths,Term 1,81,76,71
618,STU1078,Science,Term 1,57,78,65
619,STU1078,Coding,Term 1,75,81,68
620,STU1078,Civic Sense,Term 1,61,61,69
621,STU1078,Maths,Finals,83,60,76
622,STU1078,Science,Finals,79,73,83
623,STU1078,Coding,Finals,72,62,75
624,STU1078,Civic Sense,Finals,60,81,88
625,STU1079,Maths,Term 1,100,91,93
626,STU1079,Science,Term 1,100,96,95
627,STU1079,Coding,Term 1,96,97,98
628,STU1079,Civic Sense,Term 1,89,100,91
629,STU1079,Maths,Finals,99,94,100
630,STU1079,Science,Finals,97,89,99
631,STU1079,Coding,Finals,87,90,98
